Internal ID,CompanyName,SubsidiaryID,ParentID,ProfileID,AccountManagerID,CustomerSuccessManagerID,Inactive,Status,CustomerSince,DateCreated,FirstTransactionDate,LastCustomerActivityDate,LastSalesActivity,Address,Email,Division,Balance,DaysOverdue,OverdueBalance,City,Country,CountryCode,StateName,StateCode,ZipCode,PlatinumSupport,SubscriptionPricing,Taxable,AtRisk,BusinessSystem,Translator,NetworkStatus,Network,NetworkBillingPlan,NumberOfTradingPartners,EntityType,TaxItem,ResellerID,RevenueCohortSegment
20537865,3PLNext,1,,,18645951,,No,LEAD-Nurturing,,1/11/2024 5:34 pm,,1/19/2024,1/12/2024,3PLNext 291 Harrison Avenue Jersey City NJ 07304,faizan@3plnext.com,TC,.00,0,.00,Jersey City,United States,US,New Jersey,NJ,07304,No,Yes,Yes,No,All Other Packages,TM SaaS,Not Deployed,Tc.net,,,End User,AVATAX,,
21066979,3SC,55,,,,,No,LEAD-Nurturing,,5/27/2024 6:13 am,,,,,juhi.sinha@3scsolution.com,DIC,.00,0,.00,,,,,,,No,No,Yes,No,TBD,TrueAuto,Not Deployed,,,,End User,AVATAX,,
20589196,"3SonsFoods, LLC",1,,,18645951,,No,LEAD-Nurturing,,1/22/2024 10:58 am,,4/18/2024,,"3SonsFoods, LLC 3907 Bell Hollow Ln,  Katy TX 77494",operationsoverlord@3sonsfoods.com,TC,.00,0,.00,Katy,United States,US,Texas,TX,77494,No,Yes,Yes,No,QuickBooks Online,TM SaaS,Not Deployed,Tc.net,,,End User,AVATAX,,
20624366,4 PPL Cosmetics,1,,,20054008,,No,LEAD-Qualified,,1/29/2024 8:58 am,,,,,info@4pplcosmetics.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,All Other Packages,,Not Deployed,Tc.net,,,End User,AVATAX,,
21062308,4D Global,1,,,18645951,,No,LEAD-Nurturing,,5/24/2024 8:36 am,,6/6/2024,6/6/2024,,ismail.sayyed@4dglobalinc.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,TBD,,Not Deployed,Tc.net,,,End User,AVATAX,,
21011310,4Lite- Ansell lighting,34,,,11275254,,No,LEAD-Qualified,,5/10/2024 4:48 am,,5/10/2024,,,ayrtonmorewood@4liteuk.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
20701494,4process AG,34,,,,,No,CUSTOMER-Closed Won,,2/22/2024 2:21 pm,,,,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,SAP Business-By-Design,OneTime 5.0,Not Deployed,,,,,,,
20876289,4UR Safety-GIM & LLC,1,,81474,4346638,,No,CUSTOMER-Closed Won,4/23/2024,4/16/2024 5:09 pm,5/1/2024,6/20/2024,4/25/2024,4UR Safety-GIM & LLC 1154 Natural Oak Drive Orange City FL 32763,mmincey@mmi-products.com,TC,1500.00,59,1500.00,Orange City,United States,US,Florida,FL,32763,No,Yes,Yes,No,QuickBooks Premier,TM SaaS,Activated,Tc.net,Standard - 25000 Annual Entitlement (1 year),3,End User,AVATAX,,
20670551,5 Horizons Group,1,,81207,19420294,,No,CUSTOMER-Closed Won,3/25/2024,2/12/2024 11:06 am,4/10/2024,6/10/2024,5/21/2024,5 Horizons Group 670 Spirit of St Louis Blvd Chesterfield MO 63005,cyndi.duffy@5horizonsgroup.com,TC,.00,0,.00,Chesterfield,United States,US,Missouri,MO,63005,No,Yes,Yes,No,NetSuite,TM SaaS,Activated,Tc.net,"Essential - 100,000 Annual Entitlement",5,End User,AVATAX,,
20966445,5d Tropical,1,,,16144012,,No,PROSPECT-Quote,,5/2/2024 4:40 pm,,6/20/2024,6/20/2024,"5D Tropical 6507 Bob Head Rd,  Plant City FL 33565",fish@5dtropical.com,TC,.00,0,.00,Plant City,United States,US,Florida,FL,33565,No,Yes,Yes,No,All Other Packages,TM SaaS,Not Deployed,Tc.net,,,End User,AVATAX,,
20759933,5G IoT Solutions LLC,1,,,,,No,LEAD-Nurturing,,3/13/2024 10:31 am,,,,,ali.shah@5GIoTSolutions.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,IFS,,Not Deployed,Tc.net,,,End User,AVATAX,,
20726847,8Loop Trans,1,,,,,No,LEAD-Nurturing,,3/1/2024 1:29 pm,,3/8/2024,3/8/2024,,norma.sandoval@8looptrans.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,All Other Packages,,Not Deployed,Tc.net,,,End User,AVATAX,,
20619220,8th and Walton,1,,,20054008,,No,LEAD-Qualified,,1/26/2024 9:53 am,,2/24/2024,,,terry@8thandwalton.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,TBD,,Not Deployed,Tc.net,,,End User,AVATAX,,
21041867,8th Avenue Food & Provisions,1,,,20835445,,No,LEAD-Suspect,,5/20/2024 10:39 am,,5/22/2024,5/22/2024,,lou.arace@8ave.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,J.D. Edwards,,Not Deployed,Tc.net,,,End User,AVATAX,,
20799395,9 Design Co,1,,,18645951,,No,LEAD-Nurturing,,3/25/2024 4:53 pm,,3/28/2024,3/28/2024,,farahlindeman@9designco.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,Microsoft Excel,,Not Deployed,Tc.net,,,End User,AVATAX,,
21132794,12:01,1,,,18469073,,No,LEAD-Qualified,,6/10/2024 1:22 pm,,6/13/2024,6/13/2024,,gk@12-01.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,TBD,,Not Deployed,Tc.net,,,End User,AVATAX,,
20976973,21 Shipping,1,,,,,No,LEAD-Nurturing,,5/4/2024 10:31 am,,5/23/2024,5/23/2024,,fion@21shipping.us,TC,.00,0,.00,,,,,,,No,No,Yes,No,Microsoft Excel,,Not Deployed,Tc.net,,,End User,AVATAX,,
20959728,24/7 Delivery Service,1,,,20285237,,No,LEAD-Qualified,,5/1/2024 1:22 pm,,5/28/2024,5/28/2024,,deliveryike77@gmail.com,TC,.00,0,.00,,,,,,,No,Yes,Yes,No,No ERP,TM SaaS,Not Deployed,Tc.net,,,End User,AVATAX,,
20627336,30A.Tech,1,,,,,No,CUSTOMER-Closed Won,,1/29/2024 4:48 pm,,1/31/2024,1/31/2024,30A.Tech 13123 E. Emerald Coast PKWY Suite B777 Inlet Beach FL 32461,roger@30a.tech,TC,.00,0,.00,Inlet Beach,United States,US,Florida,FL,32461,No,No,Yes,No,,,Not Deployed,,,,Reseller,AVATAX,,
20740817,77 Diamonds,34,,,,,No,LEAD-Unqualified,,3/7/2024 12:33 am,,,,77 Diamonds United Kingdom,,TC,.00,0,.00,,United Kingdom,GB,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
20740271,77DIAMONDS LIMITED,34,,,,,No,LEAD-Unqualified,,3/7/2024 12:27 am,,,,77DIAMONDS LIMITED United Kingdom,,TC,.00,0,.00,,United Kingdom,GB,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
20740163,123 LEEDS LIMITED,34,,,,,No,LEAD-Unqualified,,3/7/2024 12:26 am,,,,123 LEEDS LIMITED United Kingdom,,TC,.00,0,.00,,United Kingdom,GB,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
20500140,203 trading llc,47,,,,,No,CUSTOMER-Closed Won,,1/1/2024 10:57 pm,,,,203 trading llc 155 woodward ave suite 1-2 Norwalk CT 06854,sl@203trading.com,TC,90.50,8,90.50,Norwalk,United States,US,Connecticut,CT,06854,No,No,Yes,No,,,Not Deployed,,,,End User,AVATAX,,
20647795,305 Consulting & Production,1,,,,,No,LEAD-Nurturing,,2/5/2024 10:19 am,,4/17/2024,4/17/2024,,support@creativetwotwelve.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,All Other Packages,,Not Deployed,Tc.net,,,End User,AVATAX,,
21058501,321 Coffee,1,,,20285237,,No,PROSPECT-Qualified,,5/23/2024 12:38 pm,,6/14/2024,6/14/2024,,lwrege@321coffee.com,TC,.00,0,.00,,,,,,,No,Yes,Yes,No,QuickBooks Online,TM SaaS,Not Deployed,Tc.net,,,End User,AVATAX,,
20701493,365 Business Development,34,,,,,No,CUSTOMER-Closed Won,,2/22/2024 2:21 pm,,,,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,Microsoft Dynamics 365 Business Central,OneTime 5.0,Not Deployed,,,,,,,
20846158,365 Elevate,1,,,,,No,CUSTOMER-Closed Won,,4/8/2024 10:26 am,,6/10/2024,6/10/2024,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,,,Not Deployed,,,,Reseller,AVATAX,,
20795352,365 Retail Markets - TEST,1,,81204,19416602,,No,CUSTOMER-Closed Won,3/24/2024,3/24/2024 9:29 pm,,4/2/2024,,365 Retail Markets - TEST  1743 Maplelawn Drive  Troy MI 48084,,TC,.00,0,.00,Troy,United States,US,Michigan,MI,48084,No,No,Yes,No,Sage Enterprise Management (X3),TM SaaS,Activated,Tc.net,NO CHARGE BILLING PLAN - Subscription,1,End User,AVATAX,,
20740087,365Discount,18,,,,,No,LEAD-Unqualified,,3/7/2024 12:25 am,,,,365Discount Denmark,,TC,.00,0,.00,,Denmark,DK,,,,No,No,Yes,No,,N/A,Not Deployed,,,,End User,,,
20846264,"425 Consulting Group, LLC",1,,,,,No,CUSTOMER-Closed Won,,4/8/2024 10:32 am,,6/10/2024,6/10/2024,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,,,Not Deployed,,,,Reseller,AVATAX,,
20741135,600 GROUP PUBLIC LIMITED COMPANY(THE),34,,,,,No,LEAD-Unqualified,,3/7/2024 12:37 am,,,,600 GROUP PUBLIC LIMITED COMPANY(THE) United Kingdom,,TC,.00,0,.00,,United Kingdom,GB,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
21060752,808 Crickets LLC,1,,,,,No,LEAD-Nurturing,,5/23/2024 7:41 pm,,5/30/2024,5/30/2024,,ken@hawaiiherpetological.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,All Other Packages,,Not Deployed,Tc.net,,,End User,AVATAX,,
20878748,848 Group (848 IT services Ltd),34,,,,,No,CUSTOMER-Closed Won,,4/17/2024 7:56 am,,6/19/2024,6/19/2024,,info@848.co,TC,.00,0,.00,,,,,,,No,No,Yes,No,Microsoft Dynamics 365 Business Central,OneTime 5.0,Not Deployed,,,,Reseller,,,
21132175,1218 Global,34,,,,,No,CUSTOMER-Closed Won,,6/10/2024 11:36 am,,6/12/2024,6/12/2024,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,NetSuite,OneTime 5.0,Not Deployed,,,,Reseller,,,
20741753,2007 GAL LIMITED,34,,,,,No,LEAD-Unqualified,,3/7/2024 12:44 am,,,,2007 GAL LIMITED United Kingdom,,TC,.00,0,.00,,United Kingdom,GB,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
21008073,5411 Empanadas,1,,,,,No,LEAD-Nurturing,,5/9/2024 1:43 pm,,5/29/2024,5/29/2024,,wholesale@5411empanadas.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,TBD,,Not Deployed,Tc.net,,,End User,AVATAX,,
20632799,Reinhart Foods Limited (X12),55,,,,,No,CUSTOMER-Closed Won,,1/30/2024 9:27 pm,,,,,bpotts@reinhartfoods.com,DIC,.00,0,.00,,,,,,,No,No,Yes,No,,DiCentral,Not Deployed,DiCentral,,,,AVATAX,,
20692128,ITF Group (X12),55,,,,,No,CUSTOMER-Closed Won,,2/20/2024 12:29 am,,,,,edi@ditat.com,DIC,.00,0,.00,,,,,,,No,No,Yes,No,,DiCentral,Not Deployed,DiCentral,,,,AVATAX,,
20744781,11805258 Canada Inc,1,,,,,No,LEAD-Nurturing,,3/7/2024 4:32 pm,,3/14/2024,3/14/2024,,elijah@semalulu.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,TBD,,Not Deployed,Tc.net,,,End User,AVATAX,,
20654498,13474119 CANADA INC.,55,,,,,No,CUSTOMER-Closed Won,,2/7/2024 8:13 am,,,,,jude@popcultpaper.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,,,Not Deployed,,,,,AVATAX,,
20686219,94049442 quebec inc,1,,,18645951,,No,LEAD-Nurturing,,2/16/2024 1:50 pm,,4/26/2024,3/4/2024,,yisroel@mehadrin.ca,TC,.00,0,.00,,,,,,,No,No,Yes,No,QuickBooks Pro,,Not Deployed,Tc.net,,,End User,AVATAX,,
20633313,A & A Customs Brokers,1,,,,,No,LEAD-Nurturing,,1/31/2024 3:55 am,,,4/12/2018,,mthomas@aacb.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,TBD,TM SaaS,Not Deployed,Tc.net,,,End User,AVATAX,,
20969603,A & H Sportswear,1,,,20635309,,No,LEAD-Qualified,,5/3/2024 8:28 am,,,,,dchristy@swimusa.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,TBD,,Not Deployed,Tc.net,,,End User,AVATAX,,
20740861,A B GRAPHIC INTERNATIONAL LIMITED,34,,,,,No,LEAD-Unqualified,,3/7/2024 12:34 am,,,,A B GRAPHIC INTERNATIONAL LIMITED United Kingdom,,TC,.00,0,.00,,United Kingdom,GB,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
20740801,A B Graphic International,34,,,,,No,LEAD-Unqualified,,3/7/2024 12:33 am,,,,A B Graphic International United Kingdom,,TC,.00,0,.00,,United Kingdom,GB,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
20909168,A RIQUIER,1,,81594,19826326,,No,CUSTOMER-Closed Won,1/11/2012,4/21/2024 9:25 pm,5/24/2024,,,"M. Alain Levesque A RIQUIER 2582, avenue Champlain Shawinigan Québec G9N2M1 Canada",brandon.price@truecommerce.com,TC,.00,0,.00,Shawinigan,Canada,CA,Québec,Québec,G9N2M1,No,No,Yes,No,All Other Packages,TM SaaS,Activated,Tc.net,NO CHARGE BILLING PLAN,1,End User,-Not Taxable-,,
20645330,A Wealth Management Group,1,,,20635309,,No,LEAD-Qualified,,2/4/2024 10:28 am,,2/5/2024,2/5/2024,,rajiv.ranjan@ieee.org,TC,.00,0,.00,,,,,,,No,No,Yes,No,TBD,,Not Deployed,Tc.net,,,End User,AVATAX,,
20646464,A&A WOMENS HEALTH,1,,,,,No,LEAD-Nurturing,,2/5/2024 6:49 am,,,,,algeneralmanager@aawomenshealth.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,QuickBooks Online,,Not Deployed,Tc.net,,,End User,AVATAX,,
20895088,A&M CLOTHING NY (X12),55,,,,,No,CUSTOMER-Closed Won,,4/19/2024 10:39 am,,,,,rlcjmchip@gmail.com,DIC,.00,0,.00,,,,,,,No,No,Yes,No,,DiCentral,Not Deployed,DiCentral,,,,AVATAX,,
20773028,A&M Clothing NY,1,,81286,17025013,,No,CUSTOMER-Closed Won,4/2/2024,3/18/2024 10:57 am,4/12/2024,4/4/2024,4/4/2024,A&M Clothing NY 1407 Broadway #2116A New York NY 10018,rlcjmchip@gmail.com,TC,.00,0,.00,New York,United States,US,New York,NY,10018,No,Yes,Yes,No,TBD,TM SaaS,Activated,Tc.net,Starter - 208 Monthly Entitlement,1,End User,AVATAX,,Tier 4: Starter 2.5-5K (new)
20629807,A&R SQUARED ROSCOMMON LTD,25,,,,,No,LEAD-Qualified,,1/30/2024 10:02 am,,1/30/2024,,,rafterydistribution@gmail.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
21046961,A-FAIR-CSR,59,,,,,No,LEAD-Qualified,,5/21/2024 9:47 am,,,,,p.origer@afaircsr.lu,TC,.00,0,.00,,,,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
21036287,A-Gas Deutschland GmbH,59,,,,,No,LEAD-PreQualified,,5/17/2024 10:10 am,,,,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
20740175,A-SAFE HQ LTD,34,,,,,No,LEAD-Unqualified,,3/7/2024 12:26 am,,,,A-SAFE HQ LTD United Kingdom,,TC,.00,0,.00,,United Kingdom,GB,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
20741465,A. U. K. MÃƒÂ¼ller GmbH & Co. KG,59,,,,,No,LEAD-Unqualified,,3/7/2024 12:41 am,,,,A. U. K. MÃƒÂ¼ller GmbH & Co. KG Germany,,TC,.00,0,.00,,Germany,DE,,,,No,No,Yes,No,,,Not Deployed,,,,End User,,,
20865517,A.B.M. Tool & Die Co. Ltd.,55,,,20658670,,No,LEAD-Qualified,,4/12/2024 7:12 pm,,,,,tyler@abmtool.com,DIC,.00,0,.00,,,,,,,No,No,Yes,No,TBD,TrueAuto,Not Deployed,,,,End User,AVATAX,,
20740658,A.S. CrÃ©ation Tapeten AG,59,,,,,No,LEAD-Unqualified,,3/7/2024 12:31 am,,,,A.S. CrÃ©ation Tapeten AG Germany,,TC,.00,0,.00,,Germany,DE,,,,No,No,Yes,No,,,Not Deployed,,,,End User,,,
20763468,A.S. Watson B.V.,18,,,1860491,,No,CUSTOMER-Closed Won,3/14/2024,3/14/2024 8:39 am,,,,A.S. Watson B.V. Netherlands,testdonotuse@blsfsdkfjl.dk,TC,.00,0,.00,,Netherlands,NL,,,,No,No,Yes,No,,N/A,Not Deployed,,,,End User,ESSS-DK,,
20936968,A1 Toys,1,,,20054008,,No,LEAD-Qualified,,4/25/2024 3:11 pm,,4/26/2024,4/26/2024,,ctroyak@a1toysinc.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,TBD,,Not Deployed,Tc.net,,,End User,AVATAX,,
21028778,A2A Integrated Logistics Inc,1,,,,,No,LEAD-Nurturing,,5/15/2024 10:46 am,,6/11/2024,6/11/2024,,tbryant@a2a-logistics.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,QuickBooks Online,TM SaaS,Not Deployed,Tc.net,,,End User,AVATAX,,
20500039,AA Investments (HK) Limited,1,,,20285237,,No,PROSPECT-Quote,,1/1/2024 8:43 pm,,6/19/2024,6/19/2024,"AA Investments (HK) Limited Flat/RM 1305, 13F, Hollywood Centre, 233 Hollywood Road Sheung Wan Hong Kong 000000 Hong Kong",djibril@beauty.inc,TC,.00,0,.00,Sheung Wan,Hong Kong,HK,Hong Kong,Hong Kong,000000,No,Yes,Yes,No,QuickBooks Online,TM SaaS,Not Deployed,Tc.net,,,End User,AVATAX,,
20768533,AAA Industrial Supply Inc,1,,,,,No,LEAD-Nurturing,,3/15/2024 1:12 pm,,3/15/2024,3/15/2024,,jack.weiss@aaaindustrialsupply.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,QuickBooks Enterprise Solutions,,Not Deployed,Tc.net,,,End User,AVATAX,,
21070255,AAPA,1,,,,,No,LEAD-Nurturing,,5/28/2024 10:07 am,,,,,gaurang.shrikhande@aaparx.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,Microsoft Excel,,Not Deployed,Tc.net,,,End User,AVATAX,,
20764318,AArete,1,,,,,No,LEAD-Nurturing,,3/14/2024 1:37 pm,,,,,bpoulter@aarete.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,All Other Packages,,Not Deployed,Tc.net,,,End User,AVATAX,,
20741632,AB Anders LÃ¶fberg,18,,,,,No,LEAD-Unqualified,,3/7/2024 12:43 am,,,,AB Anders LÃ¶fberg Sweden,,TC,.00,0,.00,,Sweden,SE,,,,No,No,Yes,No,,N/A,Not Deployed,,,,End User,,,
20740875,AB Volvo Penta,18,,,,,No,LEAD-Unqualified,,3/7/2024 12:34 am,,,,AB Volvo Penta Sweden,,TC,.00,0,.00,,Sweden,SE,,,,No,No,Yes,No,,N/A,Not Deployed,,,,End User,,,
20671382,Abacus Cambridge Partners,34,,,,,No,CUSTOMER-Closed Won,,2/12/2024 12:23 pm,,6/17/2024,3/2/2024,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,SAP,OneTime 5.0,Not Deployed,,,,Reseller,,,
20672415,Abacus Cambridge Partners UK,34,,,,,No,PROSPECT-Qualified,,2/12/2024 3:34 pm,,2/19/2024,,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,Reseller,,,
20741708,Abacus Medecine,18,,,,,No,LEAD-Unqualified,,3/7/2024 12:43 am,,,,Abacus Medecine Denmark,,TC,.00,0,.00,,Denmark,DK,,,,No,No,Yes,No,,N/A,Not Deployed,,,,End User,,,
20997688,Abana Corp DBA Iron Brew Coffee,1,,,17025013,,No,PROSPECT-Quote,,5/7/2024 1:06 pm,,6/17/2024,6/17/2024,Abana Corp DBA Iron Brew Coffee 5921 Shakespeare Rd Columbia SC 29223,yaredm@ironbrewcoffee.com,TC,.00,0,.00,Columbia,United States,US,South Carolina,SC,29223,No,Yes,Yes,No,All Other Packages,TM SaaS,Not Deployed,Tc.net,,,End User,AVATAX,,
20551856,Abas Protect AB,18,,,,,No,CUSTOMER-Closed Won,,1/16/2024 3:27 pm,,,,Abas Protect AB Sweden,,TC,.00,0,.00,,Sweden,SE,,,,No,No,Yes,No,,Network Only,Not Deployed,,,,,,,
20894777,ABB,59,,,,,No,LEAD-Nurturing,,4/19/2024 10:14 am,,6/12/2024,,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,,B2B,Not Deployed,,,,End User,,,
21016133,Abbacompany LLC,1,,,20054008,,No,LEAD-Qualified,,5/12/2024 7:35 pm,,5/29/2024,5/29/2024,,abbacompany2020@gmail.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,QuickBooks Online,,Not Deployed,Tc.net,,,End User,AVATAX,,
21041869,Abbott Labs,34,,,7840817,,No,LEAD-Qualified,,5/20/2024 10:45 am,,5/20/2024,,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
21180759,Abergavenny Fine Foods,1,,82054,,,No,CUSTOMER-Closed Won,6/24/2024,6/21/2024 11:34 am,,,,Abergavenny Fine Foods Unit 7 Gilchrist Thomas Estate Blaenavon Gwent NP4 9RL United Kingdom,,TC,.00,0,.00,Blaenavon,United Kingdom,GB,Gwent,Gwent,NP4 9RL,No,No,Yes,No,SAP Business One,TM SaaS,Not Deployed,Tc.net,NO CHARGE BILLING PLAN - Europe,1,End User,AVATAX,,
20741198,ABF Ingredients,34,,,,,No,LEAD-Unqualified,,3/7/2024 12:38 am,,,,ABF Ingredients United Kingdom,,TC,.00,0,.00,,United Kingdom,GB,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,End User,,,
20625084,ABI Tape,32,,,20490138,,No,PROSPECT-Quote,,1/29/2024 10:10 am,,,,,kgraham@cargas.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,Microsoft Dynamics 365 Business Central,TrueAuto,Not Deployed,Tc.net,,,End User,,28918,
20741373,ABICOR BINZEL,59,,,,,No,LEAD-Unqualified,,3/7/2024 12:40 am,,,,ABICOR BINZEL Germany,,TC,.00,0,.00,,Germany,DE,,,,No,No,Yes,No,,,Not Deployed,,,,End User,,,
20701499,ABIDAT GmbH,34,,,,,No,CUSTOMER-Closed Won,,2/22/2024 2:21 pm,,,,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,Microsoft Dynamics 365 Business Central,OneTime 5.0,Not Deployed,,,,,,,
20701498,Abidat,34,,,,,No,CUSTOMER-Closed Won,,2/22/2024 2:21 pm,,,,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,Microsoft Dynamics 365 Business Central,OneTime 5.0,Not Deployed,,,,,,,
21171989,ABIDJAN IVORY COAST INTERNATIONAL  LLC,1,,,20635309,,No,LEAD-Qualified,,6/19/2024 3:57 am,,6/20/2024,6/20/2024,,ABIDJANIVORYCSTINL@GMAIL.COM,TC,.00,0,.00,,,,,,,No,No,Yes,No,SAP All-in-One,,Not Deployed,Tc.net,,,End User,AVATAX,,
20551878,Abigo Medical Aktiebolag,18,,,,,No,CUSTOMER-Closed Won,,1/16/2024 3:27 pm,,,,Abigo Medical Aktiebolag Sweden,,TC,.00,0,.00,,Sweden,SE,,,,No,No,Yes,No,,Network Only,Not Deployed,,,,,,,
20701500,abilis GmbH,34,,,,,No,CUSTOMER-Closed Won,,2/22/2024 2:21 pm,,,,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,SAP S4/HANA,OneTime 5.0,Not Deployed,,,,,,,
